resume_seq,recruitment_seq
U00001,R00559
U00001,R01331
U00001,R03237
U00001,R05076
U00001,R01214
U00002,R05574
U00002,R01081
U00002,R02190
U00002,R01642
U00002,R04074
U00003,R00815
U00003,R01331
U00003,R06092
U00003,R00559
U00003,R05574
U00004,R00804
U00004,R06278
U00004,R05481
U00004,R04066
U00004,R04200
U00005,R01331
U00005,R06349
U00005,R06092
U00005,R00559
U00005,R04047
U00006,R01334
U00006,R00072
U00006,R06269
U00006,R02536
U00006,R01225
U00007,R06349
U00007,R04047
U00007,R01331
U00007,R00559
U00007,R06092
U00008,R06278
U00008,R00804
U00008,R05702
U00008,R01348
U00008,R02477
U00009,R06092
U00009,R04066
U00009,R00559
U00009,R01331
U00009,R04047
U00010,R06278
U00010,R00804
U00010,R05481
U00010,R04066
U00010,R03510
U00011,R05072
U00011,R00811
U00011,R03639
U00011,R03744
U00011,R04458
U00012,R01642
U00012,R04074
U00012,R01103
U00012,R01081
U00012,R01879
U00013,R03744
U00013,R00815
U00013,R02190
U00013,R05574
U00013,R06092
U00014,R01103
U00014,R01081
U00014,R01642
U00014,R03672
U00014,R04050
U00015,R03939
U00015,R00944
U00015,R04066
U00015,R00559
U00015,R01331
U00016,R00559
U00016,R01331
U00016,R03939
U00016,R04066
U00016,R02105
U00017,R00944
U00017,R03939
U00017,R02105
U00017,R01331
U00017,R00559
U00018,R00559
U00018,R04066
U00018,R01331
U00018,R04047
U00018,R04278
U00019,R04200
U00019,R01331
U00019,R02105
U00019,R00559
U00019,R03939
U00020,R05574
U00020,R06092
U00020,R03744
U00020,R06349
U00020,R04458
U00021,R02779
U00021,R02768
U00021,R05702
U00021,R01348
U00021,R06278
U00022,R06092
U00022,R06349
U00022,R03744
U00022,R05574
U00022,R04458
U00023,R05574
U00023,R02190
U00023,R06092
U00023,R06427
U00023,R03744
U00024,R06092
U00024,R06349
U00024,R05574
U00024,R00815
U00024,R01553
U00025,R02021
U00025,R06092
U00025,R06427
U00025,R02190
U00025,R05574
U00026,R05574
U00026,R06092
U00026,R02190
U00026,R03744
U00026,R06349
U00027,R02021
U00027,R02190
U00027,R01642
U00027,R01879
U00027,R05574
U00028,R05574
U00028,R06092
U00028,R02190
U00028,R00815
U00028,R06572
U00029,R06572
U00029,R00815
U00029,R02190
U00029,R05574
U00029,R06092
U00030,R06092
U00030,R05574
U00030,R00815
U00030,R06349
U00030,R02190
U00031,R02190
U00031,R05574
U00031,R06092
U00031,R02021
U00031,R06427
U00032,R03744
U00032,R02190
U00032,R00815
U00032,R05574
U00032,R06092
U00033,R04066
U00033,R01331
U00033,R00559
U00033,R04047
U00033,R04278
U00034,R02190
U00034,R06349
U00034,R06092
U00034,R05574
U00034,R00815
U00035,R03237
U00035,R05076
U00035,R01214
U00035,R00056
U00035,R03939
U00036,R00804
U00036,R04200
U00036,R00944
U00036,R05481
U00036,R00559
U00037,R05574
U00037,R06092
U00037,R02190
U00037,R00815
U00037,R03744
U00038,R03854
U00038,R01879
U00038,R05796
U00038,R02632
U00038,R04258
U00039,R00559
U00039,R03939
